Accepted,مقبول
Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Action Route,بند واجهة
Actions,إجراءات
Administrator,المسؤول
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
ALM,إدارة الأصول والخصوم
Analysis,التحليل
Approved,معتمد
Approved By,معتمد By
Approved On,معتمد On
As of Date,As من التاريخ
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Attachments,المرفقات
Audit,التدقيق
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Basis Note,بند واجهة
Billing & collections,الفوترة والتحصيل
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Cancelled,ملغى
Car Rental,تأجير السيارات
Card Break,قسم
Change Ticket,تذكرة تغيير
Chart,مخطط
Chart of Accounts,دليل الحسابات
Classification Code,رمز التصنيف
Closed,مغلق
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Completed,مكتمل
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Confidence,الثقة
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Context and Evidence,السياق و دليل
Core ERP,ERP الأساسي
Cost Center,مركز التكلفة
Country,الدولة
Create,إنشاء
Credit Engine,محرك الائتمان
Credit Risk,مخاطر الائتمان
critical,حرج
CRM,إدارة العملاء
Cross-module operations,عمليات متكاملة
Currency,العملة
Custom Documents,المستندات المخصصة
Customer,العميل
Dashboard,لوحة معلومات
Deferred,بند واجهة
Delete,حذف
Design & quantities (BOQ),التصميم والكميات (جدول الكميات)
Desk,المكتب
Details,التفاصيل
Development Budget,ميزانية التطوير
Development Project,مشروع تطوير
Development Project Register,سجل مشاريع التطوير
Development project register,سجل مشاريع التطوير
Documents & Integration,المستندات والتكامل
E-Invoice,الفاتورة الإلكترونية
Edit,تعديل
Education,التعليم
Engineering Consulting,الاستشارات الهندسية
Entity DocType,بند واجهة
Entity Name,بند واجهة
Erpgenex Property Mgmt,إدارة العقارات
Erpgenex Realestate Dev,التطوير العقاري
Erpgenex Realestate Sales,التسويق العقاري
ERPGENEX — Core ERP,ERPGENEX — ERP الأساسي
ERPGENEX — Dashboard,ERPGENEX — لوحة المعلومات
Escalation Rule,قاعدة تصعيد الإيجار
Event,حدث
Evidence JSON,دليل JSON
Executed,بند واجهة
Executed On,بند واجهة
Execution Log,التنفيذ السجل
Executive Dashboard,لوحة المدير التنفيذية
Expected Impact,بند واجهة
Explore this workspace,استكشف مساحة العمل
Factoring,التخصيم
Failed,فشل
Field PWA,تطبيق الميدان
Filters,المرشحات
Finance Control Exceptions,استثناءات الضوابط المالية
Finance Control Violations,مخالفات الضوابط المالية
Finance Controls,الضوابط المالية
Finance Engine,محرك التمويل
Finance Group,المجموعة المالية
Finance SoD Blocks,حظر فصل المهام (SoD)
Finance Workcenter,مركز عمل المالية
Fixed Assets,الأصول الثابتة
Forecast,بند واجهة
Form,نموذج
Further,المزيد
General Ledger,دفتر الأستاذ العام
GL Account,حساب GL
Global Defaults,الإعدادات العامة
Governance,الحوكمة
Governance Overview,نظرة عامة على الحوكمة
Guest,زائر
Handover & defects (snagging),التسليم والعيوب
Handover Package,حزمة التسليم
Healthcare,الرعاية الصحية
Help,مساعدة
high,مرتفع
Home,الرئيسية
Horizon (days),بند واجهة
HR,الموارد البشرية
IFRS 16 Liability,التزام الإيجار IFRS 16
In Progress,قيد التنفيذ
Industry Solutions,حلول القطاعات
Insights,رؤى وتحليلات
Intelligence Action Queue,بند واجهة
Intelligence Action Queue Register,سجل بند واجهة
Intelligence Ops Dashboard,لوحة بند واجهة
Intelligence Recommendation,بند واجهة
Intelligence Recommendation Register,سجل بند واجهة
Intelligence Signal,بند واجهة
Intelligence Signal Register,سجل بند واجهة
Inventory & development context,المخزون وسياق التطوير
Inventory KPI Dashboard,لوحة مؤشرات المخزون
Inventory KPIs,مؤشرات المخزون
Inventory Low Stock Items,أصناف منخفضة المخزون
